first,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,last,trans,trans_id,trans_extract,count,cohort
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Jan
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Jan
NA,15,15,3,3,3,3,3,3,3,3,3,3,3,15 15 3 3 3 3 3 3 3 3 3 3 3,126,15 15 ,2,17-Jan
NA,15,15,15,15,15,15,3,3,3,3,3,3,3,15 15 15 15 15 15 3 3 3 3 3 3 3,51,15 15 15 15 15 15 ,6,17-Jan
NA,15,15,15,15,15,15,3,3,3,3,3,3,3,15 15 15 15 15 15 3 3 3 3 3 3 3,51,15 15 15 15 15 15 ,6,17-Jan
13,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Jan
3,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Jan
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Jan
NA,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,15 15 15 15 15 15 15 NA NA NA NA NA NA,49,15 15 15 15 15 15 15 ,7,17-Jan
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Jan
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Jan
NA,15,15,15,15,15,3,3,3,3,3,3,3,3,15 15 15 15 15 3 3 3 3 3 3 3 3,67,15 15 15 15 15 ,5,17-Jan
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Jan
