"ABBOTT ISD","ABBOTT SCHOOL","109901","109901001","","N","R","NQ","","N","KG - 12","109","12","HILL","Both Elem/Sec"
"ABERNATHY ISD","ABERNATHY ACAD","095901","095901002","","N","","","","N","06 - 12","095","17","HALE","Both Elem/Sec"
"ABERNATHY ISD","ABERNATHY EL","095901","095901101","","N","R","NA","","N","EE - 05","095","17","HALE","Elementary"
"ABERNATHY ISD","ABERNATHY H S","095901","095901001","","N","A","NQ","","N","09 - 12","095","17","HALE","Secondary"
"ABERNATHY ISD","ABERNATHY MIDDLE","095901","095901041","","N","A","NA","","N","06 - 08","095","17","HALE","Middle"
"ABILENE ISD","ABILENE H S","221901","221901001","","N","A","NQ","","N","09 - 12","221","14","TAYLOR","Secondary"
"ABILENE ISD","ABILENE STATE SCH","221901","221901129","","N","N","NR","","N","06 - 12","221","14","TAYLOR","Both Elem/Sec"
"ABILENE ISD","ADULT LEARNING CTR","221901","221901004","","N","N","NR","","N","12 - 12","221","14","TAYLOR","Secondary"
"ABILENE ISD","ALTA VISTA EL","221901","221901101","","N","R","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","AUSTIN EL","221901","221901102","","N","E","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","BASSETTI EL","221901","221901153","","N","E","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","BONHAM EL","221901","221901103","","N","E","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","BOWIE EL","221901","221901104","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","CLACK MIDDLE","221901","221901047","","N","A","NA","","N","06 - 08","221","14","TAYLOR","Middle"
"ABILENE ISD","COLLEGE HEIGHTS EL","221901","221901106","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","COOPER H S","221901","221901002","","N","A","NQ","","N","09 - 12","221","14","TAYLOR","Secondary"
"ABILENE ISD","CROCKETT EL","221901","221901107","","N","R","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","DYESS EL","221901","221901108","","N","E","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","EXCEL ALTER H S","221901","221901003","","N","1","PE","","N","09 - 12","221","14","TAYLOR","Secondary"
"ABILENE ISD","FANNIN EL","221901","221901110","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","FRANKLIN MIDDLE","221901","221901041","","N","A","NA","","N","06 - 08","221","14","TAYLOR","Middle"
"ABILENE ISD","HOUSTON STUDENT ACH CTR","221901","221901124","","N","N","NR","","N","01 - 12","221","14","TAYLOR","Both Elem/Sec"
"ABILENE ISD","JACKSON EL","221901","221901112","","N","R","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","JEFFERSON MIDDLE","221901","221901042","","N","A","NA","","N","06 - 08","221","14","TAYLOR","Middle"
"ABILENE ISD","JOHNSTON EL","221901","221901113","","N","R","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","JONES EL","221901","221901114","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","LACY SCH","221901","221901139","","N","N","NR","","N","06 - 10","221","14","TAYLOR","Both Elem/Sec"
"ABILENE ISD","LEE EL","221901","221901116","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","LILLY SMITH FARMER CTR","221901","221901141","","N","N","NR","","N","06 - 11","221","14","TAYLOR","Both Elem/Sec"
"ABILENE ISD","LINCOLN MIDDLE","221901","221901043","","N","A","NA","","N","06 - 08","221","14","TAYLOR","Middle"
"ABILENE ISD","LOCUST PRE-K","221901","221901117","","N","N","NR","","N","EE - PK","221","14","TAYLOR","Elementary"
"ABILENE ISD","LONG EL","221901","221901118","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","MADISON MIDDLE","221901","221901044","","N","A","NA","","N","06 - 08","221","14","TAYLOR","Middle"
"ABILENE ISD","MANN MIDDLE","221901","221901045","","N","A","NA","","N","06 - 08","221","14","TAYLOR","Middle"
"ABILENE ISD","ORTIZ EL","221901","221901152","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","REAGAN EL","221901","221901120","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","SCHOOL AGE MOTHERS","221901","221901122","","N","N","NR","","N","07 - 11","221","14","TAYLOR","Secondary"
"ABILENE ISD","SP ED HOMEBOUND","221901","221901127","","N","N","NR","","N","02 - 12","221","14","TAYLOR","Both Elem/Sec"
"ABILENE ISD","SP ED O J T","221901","221901128","","N","N","NR","","N","EE - 12","221","14","TAYLOR","Both Elem/Sec"
"ABILENE ISD","TAYLOR EL","221901","221901121","","N","A","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","THOMAS EL","221901","221901151","","N","R","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","TRAVIS OPPORTUNITY CTR","221901","221901006","","N","","","","N","06 - 11","221","14","TAYLOR","Both Elem/Sec"
"ABILENE ISD","VALLEY VIEW EL","221901","221901123","","N","R","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","WARD EL","221901","221901150","","N","E","NA","","N","KG - 05","221","14","TAYLOR","Elementary"
"ABILENE ISD","WOODSON PRE-K","221901","221901125","","N","N","NR","","N","EE - PK","221","14","TAYLOR","Elementary"
"ABILENE ISD","WOODSON PROJECT PASS","221901","221901046","","N","1","PE","","N","06 - 08","221","14","TAYLOR","Middle"
"ABILENE ISD","WOODSON SKILL CTR","221901","221901126","","N","N","NR","","N","07 - 12","221","14","TAYLOR","Secondary"
"ACADEMY ISD","ACADEMY EL","014901","014901101","","N","A","NA","","N","EE - 04","014","12","BELL","Elementary"
"ACADEMY ISD","ACADEMY H S","014901","014901001","","N","R","NQ","","N","09 - 12","014","12","BELL","Secondary"
"ACADEMY ISD","ACADEMY J H","014901","014901041","","N","A","NA","","N","05 - 08","014","12","BELL","Middle"
"ACADEMY OF TRANSITIONAL STUDIES","ACADEMY OF TRANSITIONAL STUDIE","178801","178801001","","N","","","","Y","06 - 12","178","02","NUECES","Both Elem/Sec"
"ADRIAN ISD","ADRIAN SCHOOL","180903","180903001","","N","E","NQ","","N","KG - 12","180","16","OLDHAM","Both Elem/Sec"
"AGUA DULCE ISD","AGUA DULCE EL","178901","178901101","","N","A","NA","","N","EE - 05","178","02","NUECES","Elementary"
"AGUA DULCE ISD","AGUA DULCE H S","178901","178901001","","N","R","NQ","","N","06 - 12","178","02","NUECES","Both Elem/Sec"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS H S","015901","015901001","","N","A","NQ","","N","09 - 12","015","20","BEXAR","Secondary"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS J H","015901","015901041","","N","A","NA","","N","06 - 08","015","20","BEXAR","Middle"
"ALAMO HEIGHTS ISD","CAMBRIDGE EL","015901","015901101","","N","A","NA","","N","01 - 05","015","20","BEXAR","Elementary"
"ALAMO HEIGHTS ISD","HOWARD EL","015901","015901102","","N","N","NR","","N","EE - KG","015","20","BEXAR","Elementary"
"ALAMO HEIGHTS ISD","WOODRIDGE EL","015901","015901104","","N","A","NA","","N","01 - 05","015","20","BEXAR","Elementary"
"ALBA-GOLDEN ISD","ALBA-GOLDEN EL","250906","250906101","","N","A","NA","","N","PK - 06","250","07","WOOD","Elementary"
"ALBA-GOLDEN ISD","ALBA-GOLDEN H S","250906","250906001","","N","R","NQ","","N","07 - 12","250","07","WOOD","Secondary"
"ALBA-GOLDEN ISD","ALTER SCHOOL","250906","250906002","","N","1","PE","","N","07 - 11","250","07","WOOD","Secondary"
"ALBANY ISD","ALBANY JR-SR H S","209901","209901001","","N","R","NQ","","N","07 - 12","209","14","SHACKELFORD","Secondary"
"ALBANY ISD","NANCY SMITH EL","209901","209901101","","N","E","NA","","N","EE - 06","209","14","SHACKELFORD","Elementary"
"ALDINE ISD","ALDINE H S","101902","101902001","","N","A","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALDINE ISD","ALDINE MIDDLE","101902","101902041","","N","A","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","ANDERSON ACAD","101902","101902101","101902042","N","A","NA","DREW ACADEMY","N","01 - 03","101","04","HARRIS","Elementary"
"ALDINE ISD","BETHUNE ACAD","101902","101902102","","N","A","NA","","N","04 - 05","101","04","HARRIS","Elementary"
"ALDINE ISD","BLACK EL","101902","101902126","","N","R","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","CALVERT EL","101902","101902128","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","CARAWAY INT","101902","101902066","","P","A","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALDINE ISD","CARMICHAEL EL","101902","101902122","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","CARROLL EL","101902","101902103","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","CARVER CONTEMP H S","101902","101902002","","N","A","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALDINE ISD","CHESTER W NIMITZ H S","101902","101902005","","N","A","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALDINE ISD","COLONIAL HILLS EL","101902","101902115","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","CONLEY EL","101902","101902123","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","DREW ACAD","101902","101902042","","N","A","NA","","N","06 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","DUNN EL","101902","101902124","","N","R","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","ECKERT INT","101902","101902061","","P","R","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALDINE ISD","EISENHOWER H S","101902","101902004","","N","A","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALDINE ISD","ERMEL EL","101902","101902121","","P","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","ESCAMILLA INT","101902","101902063","","N","R","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALDINE ISD","EVELYN S THOMPSON EL","101902","101902117","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","FRANCIS EL","101902","101902105","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","GRAY EL","101902","101902125","","N","R","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","HAMBRICK MIDDLE","101902","101902043","","N","R","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","HIDDEN VALLEY EL","101902","101902106","","N","R","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","HOFFMAN MIDDLE","101902","101902046","","N","A","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALDINE ISD","INWOOD EL","101902","101902114","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","JOHNSON EL","101902","101902116","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","LANE SCH","101902","101902108","","N","N","NR","","N","EE - 12","101","04","HARRIS","Both Elem/Sec"
"ALDINE ISD","MACARTHUR H S","101902","101902003","","N","A","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALDINE ISD","MAGRILL EL","101902","101902120","","N","E","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","MENDEL EL","101902","101902109","","N","E","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALDINE ISD","NIGHT H S","101902","101902006","","N","1","PE","","N","09 - 12","101","04","HARRIS","Secondary"
"ALDINE ISD","OLESON EL","101902","101902111","","N","E","NA","","N","EE - 04","101","04","HARRIS","Elementary"
