"A+ ACADEMY","A+ ACADEMY"," ","057829001","057829","057","10","DALLAS","B","PK - 12","Y"," "," ","1"
"ABBOTT ISD","ABBOTT SCHOOL","TEMSX","109901001","109901","109","12","HILL","B","KG - 12","N"," "," ","R"
"ABERNATHY ISD","ABERNATHY DAEP"," ","095901003","095901","095","17","HALE","M","08 - 09","N"," "," ","X"
"ABERNATHY ISD","ABERNATHY EL"," ","095901101","095901","095","17","HALE","E","PK - 05","N"," "," ","R"
"ABERNATHY ISD","ABERNATHY H S","ARX","095901001","095901","095","17","HALE","S","09 - 12","N"," "," ","R"
"ABERNATHY ISD","ABERNATHY J H","AEWSZ","095901041","095901","095","17","HALE","M","06 - 08","N"," "," ","R"
"ABILENE ISD","ABILENE H S"," ","221901001","221901","221","14","TAYLOR","S","09 - 12","N"," "," ","A"
"ABILENE ISD","ABILENE PSYCHIATRIC INSTITUTE"," ","221901142","221901","221","14","TAYLOR","S","09 - 09","N"," "," ","X"
"ABILENE ISD","ABILENE STATE SCH"," ","221901129","221901","221","14","TAYLOR","S","12 - 12","N"," "," ","X"
"ABILENE ISD","AUSTIN EL","EWNX","221901102","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R"
"ABILENE ISD","BASSETTI EL","EWMN","221901153","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R"
"ABILENE ISD","BONHAM EL","EMNX","221901103","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R"
"ABILENE ISD","BOWIE EL","EMNX","221901104","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R"
"ABILENE ISD","CLACK MIDDLE","EWSX","221901047","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","R"
"ABILENE ISD","COLLEGE HEIGHTS EL"," ","221901106","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R"
"ABILENE ISD","COOPER H S"," ","221901002","221901","221","14","TAYLOR","S","09 - 12","N"," "," ","A"
"ABILENE ISD","DYESS EL","EWMN","221901108","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R"
"ABILENE ISD","EXCEL ALTER H S"," ","221901003","221901","221","14","TAYLOR","S","09 - 12","N"," "," ","1"
"ABILENE ISD","FANNIN EL"," ","221901110","221901","221","14","TAYLOR","E","EE - 05","N"," "," ","A"
"ABILENE ISD","FRANKLIN MIDDLE"," ","221901041","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","A"
"ABILENE ISD","HARMONY FAMILY SERVICES"," ","221901200","221901","221","14","TAYLOR","B","05 - 12","N"," "," ","X"
"ABILENE ISD","HOUSTON STUDENT ACH CTR"," ","221901124","221901","221","14","TAYLOR","B","01 - 12","N"," "," ","X"
"ABILENE ISD","JACKSON EL","EWMN","221901112","221901","221","14","TAYLOR","E","EE - 05","N"," "," ","R"
"ABILENE ISD","JOHNSTON EL","AEMN","221901113","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R"
"ABILENE ISD","JUVENILE DETENTION CENTER"," ","221901008","221901","221","14","TAYLOR","B","06 - 10","N"," "," ","L"
"ABILENE ISD","LEE EL","X","221901116","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","A"
"ABILENE ISD","LINCOLN MIDDLE","EW","221901043","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","A"
"ABILENE ISD","LOCUST ECC"," ","221901117","221901","221","14","TAYLOR","E","EE - PK","N"," "," ","X"
"ABILENE ISD","LONG EL","N","221901118","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","A"
"ABILENE ISD","MADISON MIDDLE","EW","221901044","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","A"
"ABILENE ISD","MANN MIDDLE","EW","221901045","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","A"
"ABILENE ISD","ORTIZ EL","WMNX","221901152","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R"
"ABILENE ISD","PROJECT PASS"," ","221901046","221901","221","14","TAYLOR","M","07 - 08","N"," "," ","1"
"ABILENE ISD","REAGAN EL","W","221901120","221901","221","14","TAYLOR","E","EE - 05","N"," "," ","A"
"ABILENE ISD","SP ED HOMEBOUND"," ","221901127","221901","221","14","TAYLOR","B","03 - 12","N"," "," ","X"
"ABILENE ISD","SP ED O J T"," ","221901128","221901","221","14","TAYLOR","S","09 - 12","N"," "," ","X"
