DISTNAME,CAMPNAME,CACKDTL,CAMPUS,DISTRICT,COUNTY,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,paircamp,pairname,C_RATING
A+ ACADEMY,A+ ACADEMY,,057829001,057829,057,10,DALLAS,B,PK - 12,Y,,,1
ABBOTT ISD,ABBOTT SCHOOL,AVEWMS,109901001,109901,109,12,HILL,B,PK - 12,N,,,R
ABERNATHY ISD,ABERNATHY DAEP,,095901003,095901,095,17,HALE,M,08 - 08,N,,,X
ABERNATHY ISD,ABERNATHY EL,N,095901101,095901,095,17,HALE,E,PK - 05,N,,,R
ABERNATHY ISD,ABERNATHY H S,UVY,095901001,095901,095,17,HALE,S,09 - 12,N,,,A
ABERNATHY ISD,ABERNATHY J H,AEWSY,095901041,095901,095,17,HALE,M,06 - 08,N,,,R
ABILENE ISD,ABILENE H S,,221901001,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,ABILENE PSYCHIATRIC INSTITUTE,,221901142,221901,221,14,TAYLOR,S,08 - 11,N,,,X
ABILENE ISD,ABILENE STATE SCH,,221901129,221901,221,14,TAYLOR,S,10 - 12,N,,,X
ABILENE ISD,AUSTIN EL,EWMN,221901102,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BASSETTI EL,EMN,221901153,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BONHAM EL,EWM,221901103,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BOWIE EL,EWMN,221901104,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,CLACK MIDDLE,AEWSZ,221901047,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,COLLEGE HEIGHTS EL,N,221901106,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,COOPER H S,Z,221901002,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,DYESS EL,EWMN,221901108,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,FANNIN EL,M,221901110,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,FRANKLIN MIDDLE,,221901041,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,HARMONY FAMILY SERVICES,,221901200,221901,221,14,TAYLOR,B,01 - 11,N,,,X
ABILENE ISD,HOUSTON STUDENT ACH CTR,,221901124,221901,221,14,TAYLOR,B,02 - 10,N,,,X
ABILENE ISD,JACKSON EL,EM,221901112,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,JOHNSTON EL,E,221901113,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,JUVENILE DETENTION CENTER,,221901008,221901,221,14,TAYLOR,B,06 - 11,N,,,L
ABILENE ISD,LEE EL,M,221901116,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,LINCOLN MIDDLE,EWS,221901043,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,LOCUST ECC,,221901117,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ABILENE ISD,LONG EL,NY,221901118,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,MADISON MIDDLE,EWS,221901044,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,MANN MIDDLE,EWS,221901045,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,ORTIZ EL,EWM,221901152,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,REAGAN EL,W,221901120,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,SP ED HOMEBOUND,,221901127,221901,221,14,TAYLOR,B,04 - 11,N,,,X
ABILENE ISD,SP ED O J T,,221901128,221901,221,14,TAYLOR,E,EE - EE,N,,,X
ABILENE ISD,TAYLOR COUNTY LEARNING CENTER,,221901007,221901,221,14,TAYLOR,B,06 - 11,N,,,X
ABILENE ISD,TAYLOR EL,EN,221901121,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,THOMAS EL,,221901151,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,TRAVIS OPPORTUNITY CTR,,221901006,221901,221,14,TAYLOR,B,06 - 11,N,,,X
ABILENE ISD,WARD EL,EWN,221901150,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,WOODSON CENTER FOR EXCELLENCE,,221901003,221901,221,14,TAYLOR,S,09 - 12,N,,,1
ABILENE ISD,WOODSON ECC,,221901125,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ACADEMY ISD,ACADEMY EL,,014901101,014901,014,12,BELL,E,EE - 04,N,,,R
ACADEMY ISD,ACADEMY H S,VSY,014901001,014901,014,12,BELL,S,09 - 12,N,,,R
ACADEMY ISD,ACADEMY J H,AEWNSZ,014901041,014901,014,12,BELL,M,05 - 08,N,,,R
ACADEMY OF ACCELERATED LEARNING IN,ACADEMY OF ACCELERATED LEARNING,,101810002,101810,101,04,HARRIS,E,PK - 04,Y,,,L
ACADEMY OF BEAUMONT,ACADEMY OF BEAUMONT,,123801101,123801,123,05,JEFFERSON,E,PK - 08,Y,,,X
ACADEMY OF CAREERS AND TECHNOLOGIE,ACADEMY OF CAREERS AND TECHNOLOGI,,015816001,015816,015,20,BEXAR,S,09 - 12,Y,,,1
ACADEMY OF DALLAS,ACADEMY OF DALLAS,S,057810101,057810,057,10,DALLAS,E,PK - 08,Y,,,A
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACA,,101849101,101849,101,04,HARRIS,E,PK - 05,Y,,,R
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACA,,101849102,101849,101,04,HARRIS,E,PK - 05,Y,,,A
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACA,,101849103,101849,101,04,HARRIS,E,PK - 05,Y,,,L
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERMEDIATE ACADEMY,,101849042,101849,101,04,HARRIS,M,06 - 06,Y,,,X
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERMEDIATE ACADEMY,,101849043,101849,101,04,HARRIS,M,06 - 06,Y,,,X
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERMEDIATE CHARTER,WZ,101849041,101849,101,04,HARRIS,M,06 - 08,Y,,,R
ADRIAN ISD,ADRIAN SCHOOL,REWSX,180903001,180903,180,16,OLDHAM,B,PK - 12,N,,,R
AGUA DULCE ISD,AGUA DULCE ELEMENTARY SCHOOL,AN,178901101,178901,178,02,NUECES,E,EE - 05,N,,,A
AGUA DULCE ISD,AGUA DULCE H S,DRW,178901001,178901,178,02,NUECES,B,06 - 12,N,,,A
ALAMO HEIGHTS ISD,ALAMO HEIGHTS H S,PSX,015901001,015901,015,20,BEXAR,S,09 - 12,N,,,A
ALAMO HEIGHTS ISD,ALAMO HEIGHTS J H,EW,015901041,015901,015,20,BEXAR,M,06 - 08,N,,,A
ALAMO HEIGHTS ISD,CAMBRIDGE EL,EWM,015901101,015901,015,20,BEXAR,E,01 - 05,N,,,R
ALAMO HEIGHTS ISD,HOWARD EL,,015901102,015901,015,20,BEXAR,E,EE - KG,N,,,X
ALAMO HEIGHTS ISD,WOODRIDGE EL,EMNY,015901104,015901,015,20,BEXAR,E,01 - 05,N,,,A
ALBA-GOLDEN ISD,ALBA-GOLDEN EL,N,250906101,250906,250,07,WOOD,E,PK - 05,N,,,A
ALBA-GOLDEN ISD,ALBA-GOLDEN H S,VWS,250906001,250906,250,07,WOOD,B,06 - 12,N,,,R
ALBA-GOLDEN ISD,ALTER SCHOOL,,250906002,250906,250,07,WOOD,S,07 - 10,N,,,1
ALBANY ISD,ALBANY JR-SR H S,ARUW,209901001,209901,209,14,SHACKELFORD,S,07 - 12,N,,,A
ALBANY ISD,NANCY SMITH EL,EWM,209901101,209901,209,14,SHACKELFORD,E,EE - 06,N,,,E
ALDINE ISD,ALDINE ELEMENTARY,EY,101902130,101902,101,04,HARRIS,E,EE - 04,N,,,R
ALDINE ISD,ALDINE HIGH SCHOOL,R,101902001,101902,101,04,HARRIS,S,09 - 12,N,,,A
ALDINE ISD,ALDINE J J A E P,,101902099,101902,101,04,HARRIS,B,06 - 10,N,,,X
ALDINE ISD,ALDINE MIDDLE,WX,101902041,101902,101,04,HARRIS,M,07 - 08,N,,,A
ALDINE ISD,ALDINE NINTH GRADE SCHOOL,AZ,101902081,101902,101,04,HARRIS,S,09 - 09,N,,,A
ALDINE ISD,ANDERSON ACADEMY,AEM,101902101,101902,101,04,HARRIS,E,01 - 03,N,,,R
ALDINE ISD,BETHUNE ACADEMY,AEMX,101902102,101902,101,04,HARRIS,E,03 - 04,N,,,R
ALDINE ISD,BLACK ELEMENTARY,WZ,101902126,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,BUSSEY ELEMENTARY,AEMZ,101902131,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CALVERT ELEMENTARY,E,101902128,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CARAWAY INTERMEDIATE,Z,101902066,101902,101,04,HARRIS,M,05 - 06,N,,,A
ALDINE ISD,CARMICHAEL ELEMENTARY,Y,101902122,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CARROLL ACADEMY,EZ,101902103,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CARTER ACADEMY,EZ,101902107,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CARVER H S  FOR APPLIED TECH/ENGI,ARSY,101902002,101902,101,04,HARRIS,S,09 - 12,N,,,A
ALDINE ISD,CONLEY ELEMENTARY,,101902123,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,DE SANTIAGO EC/PRE-K CENTER,,101902155,101902,101,04,HARRIS,E,EE - PK,N,,,X
ALDINE ISD,DREW ACADEMY,AEWS,101902042,101902,101,04,HARRIS,M,07 - 08,N,,,R
ALDINE ISD,DUNN ELEMENTARY,Z,101902124,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,ECKERT INTERMEDIATE,Y,101902061,101902,101,04,HARRIS,M,05 - 06,N,,,R
ALDINE ISD,EISENHOWER HIGH SCHOOL,R,101902004,101902,101,04,HARRIS,S,09 - 12,N,,,A
ALDINE ISD,EISENHOWER NINTH GRADE SCHOOL,AY,101902084,101902,101,04,HARRIS,S,09 - 09,N,,,A
ALDINE ISD,ERMEL ELEMENTARY,EMZ,101902121,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,ESCAMILLA INTERMEDIATE,AMY,101902063,101902,101,04,HARRIS,M,05 - 06,N,,,A
ALDINE ISD,FRANCIS ELEMENTARY,X,101902105,101902,101,04,HARRIS,E,KG - 04,N,,,R
