DISTNAME,CAMPNAME,CACKDTL,CAMPUS,DISTRICT,COUNTY,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING
A+ ACADEMY,A+ ACADEMY,Z,057829001,057829,057,10,DALLAS,B,PK - 12,Y,,,R
ABBOTT ISD,ABBOTT SCHOOL,ACVJEWMNS,109901001,109901,109,12,HILL,B,PK - 12,N,,,E
ABERNATHY ISD,ABERNATHY DAEP,,095901003,095901,095,17,HALE,S,09 - 11,N,,,X
ABERNATHY ISD,ABERNATHY EL,NY,095901101,095901,095,17,HALE,E,PK - 05,N,,,R
ABERNATHY ISD,ABERNATHY H S,ARUVJ,095901001,095901,095,17,HALE,S,09 - 12,N,,,R
ABERNATHY ISD,ABERNATHY J H,AWNSY,095901041,095901,095,17,HALE,M,06 - 08,N,,,R
ABILENE ISD,ABILENE H S,S,221901001,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,ACADEMY FOR TECHNOLOGY ENGINEERING,,221901010,221901,221,14,TAYLOR,S,09 - 09,N,,,R
ABILENE ISD,ACADIA ABILENE BEHAVIORAL HEALTH,,221901142,221901,221,14,TAYLOR,B,05 - 11,N,,,X
ABILENE ISD,AUSTIN EL,NY,221901102,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BASSETTI EL,EM,221901153,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,BONHAM EL,N,221901103,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BOWIE EL,EN,221901104,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,CLACK MIDDLE,S,221901047,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,COLLEGE HEIGHTS EL,,221901106,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,COOPER H S,,221901002,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,CRAIG MIDDLE,,221901048,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,DAY NURSERY OF ABILENE,,221901208,221901,221,14,TAYLOR,E,PK - PK,N,,,X
ABILENE ISD,DYESS EL,EWMNX,221901108,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,FANNIN EL,A,221901110,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,JACKSON EL,N,221901112,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,JOHNSTON EL,NY,221901113,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,JUVENILE DETENTION CENTER,AE,221901008,221901,221,14,TAYLOR,B,05 - 10,N,,,1
ABILENE ISD,LEE EL,Y,221901116,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,LOCUST ECC,,221901117,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ABILENE ISD,LONG EL,N,221901118,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,MADISON MIDDLE,EN,221901044,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,MANN MIDDLE,S,221901045,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,ORTIZ EL,,221901152,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,REAGAN EL,,221901120,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,SAM HOUSTON,,221901124,221901,221,14,TAYLOR,B,KG - 12,N,,,X
ABILENE ISD,TAYLOR COUNTY LEARNING CENTER,,221901007,221901,221,14,TAYLOR,B,06 - 11,N,,,X
ABILENE ISD,TAYLOR EL,N,221901121,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,THOMAS EL,NZ,221901151,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,TRAVIS OPPORTUNITY CTR,,221901006,221901,221,14,TAYLOR,S,07 - 12,N,,,X
ABILENE ISD,WARD EL,EWNY,221901150,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,WOODSON CENTER FOR EXCELLENCE,,221901003,221901,221,14,TAYLOR,S,09 - 12,N,,,1
ABILENE ISD,WOODSON ECC,,221901125,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ACADEMY ISD,ACADEMY EL,,014901101,014901,014,12,BELL,E,PK - 04,N,,,R
ACADEMY ISD,ACADEMY H S,UVJNS,014901001,014901,014,12,BELL,S,09 - 12,N,,,E
ACADEMY ISD,ACADEMY J H,AWS,014901041,014901,014,12,BELL,M,05 - 08,N,,,R
ACADEMY OF ACCELERATED LEARNING IN,ACADEMY OF ACCELERATED LEARNING,,101810002,101810,101,04,HARRIS,E,PK - 05,Y,,,A
ACADEMY OF CAREERS AND TECHNOLOGIE,ACADEMY OF CAREERS AND TECHNOLOGIE,A,015816001,015816,015,20,BEXAR,S,09 - 12,Y,,,1
ACADEMY OF DALLAS,ACADEMY OF DALLAS,,057810101,057810,057,10,DALLAS,E,PK - 08,Y,,,A
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INT CHARTER SCHOOL,,101849041,101849,101,04,HARRIS,M,07 - 08,Y,,,X
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACAD,Y,101849101,101849,101,04,HARRIS,E,PK - 06,Y,,,R
ADRIAN ISD,ADRIAN SCHOOL,UWS,180903001,180903,180,16,OLDHAM,B,PK - 12,N,,,E
ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,RZ,057806101,057806,057,10,DALLAS,B,KG - 12,Y,,,A
AGUA DULCE ISD,AGUA DULCE ELEMENTARY SCHOOL,AN,178901101,178901,178,02,NUECES,E,PK - 05,N,,,A
AGUA DULCE ISD,AGUA DULCE H S,RVW,178901001,178901,178,02,NUECES,B,06 - 12,N,,,A
ALAMO HEIGHTS ISD,ALAMO HEIGHTS H S,PCJS,015901001,015901,015,20,BEXAR,S,09 - 12,N,,,R
