CAMPUS,CA0GH04N,CA0GR04N,CA0GM04N,CB0GR04N,CH0GR04N,CW0GR04N,CI0GR04N,CP0GR04N,CS0GR04N,CA0GH04P,CA0GM04P,CB0GR04P,CH0GR04P,CW0GR04P,CI0GR04P,CP0GR04P,CS0GR04P,BPETALLC,BA0GR04N,BB0GR04N,BH0GR04N,BW0GR04N,BI0GR04N,BP0GR04N,BS0GR04N,BA0GH04N,BA0GM04N,BPETDISC,CPERRAKR,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERSAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPETDISC,CPETDISP,CPETLEPP,CPETECOP,CPETRSKP,CPETECOC,CPETRSKC,CPETLEPC,CPETSPEC,CPETGIFC,CPETBILC,CPETALLC,CPETVOCC,CPETINDC,CPETPACC,CPETBLAC,CPETHISC,CPETWHIC,CPETGEEC,CPETGPKC,CPETGKNC,CPETG01C,CPETG02C,CPETG03C,CPETG04C,CPETG05C,CPETG06C,CPETG07C,CPETG08C,CPETG09C,CPETG10C,CPETG11C,CPETG12C,CPEMALLC,CPETWHIP,CPETBLAP,CPETHISP,CPETINDP,CPETPACP,CPETSPEP,CPETVOCP,CPETBILP,CPETGIFP,CPETGEEP,CPETGPKP,CPETGKNP,CPETG01P,CPETG02P,CPETG03P,CPETG04P,CPETG05P,CPETG06P,CPETG07P,CPETG08P,CPETG09P,CPETG10P,CPETG11P,CPETG12P,CPEMALLP,BPETWHIP,BPETBLAP,BPETHISP,BPETINDP,BPETPACP,BPETECOP,BPETRSKP,BPETLEPP,BPETSPEP,BPETVOCP,BPETBILP,BPETGIFP,BPETGEEP,BPETGPKP,BPETGKNP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPEMALLP,BPERRAKR,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERSAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPETDISP
001902001,20,31,11,8,0,23,0,0,7,64.5,35.5,25.8,0,74.2,0,0,22.6,29708,6509,357,491,5454,25,182,643,4450,2059,1058,,,,,,,,,,,,,,,,,,,1,0.6,0,21.5,25.8,35,42,0,30,15,0,163,81,0,0,21,8,134,0,0,0,0,0,0,0,0,0,0,0,43,49,30,41,22,82.2,12.9,4.9,0,0,18.4,49.7,0,9.2,0,0,0,0,0,0,0,0,0,0,0,26.4,30.1,18.4,25.2,12.5,82.3,5.9,8.9,0.4,2.4,16.7,27.3,1.1,11.3,58.9,1,12.1,0,0,0,0,0,0,0,0,0,0.8,0.8,28,25.4,23.6,21.5,12.8,,,,,,,,1.6,0.5,,,,,,,,0,0,3.4
001902041,0,0,0,0,0,0,0,0,0,,,,,,,,,21961,0,0,0,0,0,0,0,0,0,475,,,,,,,4.4,0,0,,,,,,,0,0,0,1,0.7,0.6,31.2,26.6,48,41,1,23,19,1,154,55,0,1,24,5,124,0,0,0,0,0,0,0,0,51,58,45,0,0,0,0,24,80.5,15.6,3.2,0,0.6,14.9,35.7,0.6,12.3,0,0,0,0,0,0,0,0,33.1,37.7,29.2,0,0,0,0,16.4,80.4,7.1,9.8,0.7,2,26.6,26.7,1.3,12.3,16,1.2,10.1,0,0,0,0,0,0,0,7.4,23.7,33.4,33,2.5,0,0,0,13.2,,,,,1.5,1.7,1.5,1.6,1.3,,,,,0,2.2,1.5,1.9,3.2,2
001902103,0,0,0,0,0,0,0,0,0,,,,,,,,,19099,0,0,0,0,0,0,0,0,0,17,10.3,0,0,0,0,0,,,,22.2,12.5,0,0,0,0,,,,0,0,0,41.2,27.7,110,74,0,44,28,0,267,0,0,5,20,9,233,4,17,44,34,42,40,41,45,0,0,0,0,0,0,0,41,87.3,7.5,3.4,0,1.9,16.5,0,0,10.5,1.5,6.4,16.5,12.7,15.7,15,15.4,16.9,0,0,0,0,0,0,0,18.4,87,3.7,6.5,0.4,2.4,20.6,17.5,1.2,11.6,0,0.8,6.8,0.7,2.1,12.9,13.4,13.8,14.7,20.5,17.3,4.5,0.2,0.2,0,0,0,0,12.9,3,2.6,1,0.8,0.7,0.8,0.3,0,0,15.1,9.2,3.2,1.3,1.1,0.9,0.8,0,0,0.1
001903001,33,86,53,8,1,77,0,0,21,38.4,61.6,9.3,1.2,89.5,0,0,24.4,23620,4837,209,267,4294,13,54,606,3117,1720,843,,,,,,,,,,,,,,,,,,,8,2,0.5,34.3,46.7,125,170,2,83,18,2,364,194,0,1,29,19,315,0,0,0,0,0,0,0,0,0,0,0,106,89,94,75,68,86.5,8,5.2,0,0.3,22.8,53.3,0.5,4.9,0,0,0,0,0,0,0,0,0,0,0,29.1,24.5,25.8,20.6,16.7,86.6,4.7,7,0.5,1.1,22.6,36.8,0.7,14.3,65.8,0.7,8.8,0,0,0,0,0,0,0,0,0,1.3,1.3,28.7,25.2,22.6,20.8,15.3,,,,,,,,2.5,1.9,,,,,,,,5.2,1.7,3.4
001903002,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,0,25,100,1,4,0,1,0,0,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,50,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001903041,0,0,0,0,0,0,0,0,0,,,,,,,,,21473,0,0,0,0,0,0,0,0,0,467,,,,,,,0,0,0,,,,,,,0,0,0,1,0.3,0.4,46.3,40.9,130,115,1,71,16,1,281,123,1,1,23,16,240,0,0,0,0,0,0,0,0,90,90,101,0,0,0,0,33,85.4,8.2,5.7,0.4,0.4,25.3,43.8,0.4,5.7,0,0,0,0,0,0,0,0,32,32,35.9,0,0,0,0,11.3,85.1,4.9,7.5,0.5,2.1,19.4,22.7,0.7,11.5,11.5,0.6,11.1,0,0,0,0,0,0,0,8.2,24.1,34.2,33.5,0,0,0,0,11.9,,,,,,0.4,1,1.4,1,,,,,,0.6,1.5,1.2,2.2,2.1
001903101,0,0,0,0,0,0,0,0,0,,,,,,,,,18274,0,0,0,0,0,0,0,0,0,21,4.4,1.5,3.2,4.1,0,2.7,,,,13.3,0,9.5,5.6,0,0,,,,0,0,1,58.3,31.1,360,192,6,102,16,6,618,0,0,0,45,34,539,1,84,101,82,82,89,94,85,0,0,0,0,0,0,0,67,87.2,7.3,5.5,0,0,16.5,0,1,2.6,0.2,13.6,16.3,13.3,13.3,14.4,15.2,13.8,0,0,0,0,0,0,0,14.4,86.9,3.8,6.7,0.4,2.2,19,18.3,1.3,11.5,0,1,8.2,0.5,1.5,12.7,13,13.9,14.2,20.7,17.5,5.8,0.1,0.1,0,0,0,0,12.2,3,2.9,1.1,0.6,0.9,0.6,0.1,0,0,14.7,8.4,2.8,0.9,2.1,0.9,0.7,0,,0.1
001904001,50,61,11,7,1,52,0,1,9,82,18,11.5,1.6,85.2,0,1.6,14.8,23266,4638,354,385,3786,25,88,552,2821,1817,1015,,,,,,,,,,,,,,,,,,,1,0.4,0,33.2,37.9,77,88,0,46,17,0,232,184,1,1,32,10,188,0,0,0,0,0,0,0,0,0,0,0,57,56,57,62,44,81,13.8,4.3,0.4,0.4,19.8,79.3,0,7.3,0,0,0,0,0,0,0,0,0,0,0,24.6,24.1,24.6,26.7,16.3,80.8,8.1,9,0.5,1.6,25.3,32.4,1.3,13.8,65.6,1.2,9,0,0,0,0,0,0,0,0,0,0.6,0.5,29.7,25,23.5,20.7,15.9,,,,,,,,3.4,0,,,,,,,0,3.3,0,4.1
001904041,0,0,0,0,0,0,0,0,0,,,,,,,,,21554,0,0,0,0,0,0,0,0,0,527,,,,,,,0,2.1,4.3,,,,,,,0,0,0,2,1,2.6,51.3,40,100,78,5,29,27,5,195,86,1,0,31,12,151,0,0,0,0,0,0,0,0,67,74,54,0,0,0,0,31,77.4,15.9,6.2,0.5,0,14.9,44.1,2.6,13.8,0,0,0,0,0,0,0,0,34.4,37.9,27.7,0,0,0,0,15.3,77.1,8.3,11.5,0.7,2.4,29.2,27,2,12.8,18.3,1.9,11.4,0,0,0,0,0,0,0,8.1,24.8,32.5,32.1,2.5,0,0,0,13.9,,,,,,0.4,1,1.3,1.3,,,,,,0.5,1.1,1.8,3.4,2.3
001904102,0,0,0,0,0,0,0,0,0,,,,,,,,,19386,0,0,0,0,0,0,0,0,0,82,2.2,1.9,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,3.4,57.7,29.1,206,104,12,44,16,12,357,0,0,0,60,21,276,3,22,43,52,59,57,53,68,0,0,0,0,0,0,0,83,77.3,16.8,5.9,0,0,12.3,0,3.4,4.5,0.8,6.2,12,14.6,16.5,16,14.8,19,0,0,0,0,0,0,0,24.3,76.9,8.7,11.4,0.7,2.2,34.2,23.1,2.4,12.1,0,2.1,5.6,0.3,2.7,13.8,13.9,13.6,16.8,19.6,14.2,5,0,0,0,0,0,0,15.3,3.3,4.4,1.2,1.3,1,0.7,0.9,,,12.6,10.6,1.9,1,0.4,1.1,1.2,,,0.4
