CAMPUS,CA0GR05N,CA0GH05N,CA0GM05N,CB0GR05N,CH0GR05N,CW0GR05N,CI0GR05N,CP0GR05N,CS0GR05N,CA0GH05P,CA0GM05P,CB0GR05P,CH0GR05P,CW0GR05P,CI0GR05P,CP0GR05P,CS0GR05P,BPETALLC,BA0GR05N,BB0GR05N,BH0GR05N,BW0GR05N,BI0GR05N,BP0GR05N,BS0GR05N,BA0GH05N,BA0GM05N,BPETDISC,CPERRAKR,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERSAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPETDISC,CPETDISP,CPETLEPP,CPETECOP,CPETRSKP,CPETECOC,CPETRSKC,CPETLEPC,CPETSPEC,CPETGIFC,CPETBILC,CPETALLC,CPETVOCC,CPETINDC,CPETPACC,CPETBLAC,CPETHISC,CPETWHIC,CPETGEEC,CPETGPKC,CPETGKNC,CPETG01C,CPETG02C,CPETG03C,CPETG04C,CPETG05C,CPETG06C,CPETG07C,CPETG08C,CPETG09C,CPETG10C,CPETG11C,CPETG12C,CPEMALLC,CPETWHIP,CPETBLAP,CPETHISP,CPETINDP,CPETPACP,CPETSPEP,CPETVOCP,CPETBILP,CPETGIFP,CPETGEEP,CPETGPKP,CPETGKNP,CPETG01P,CPETG02P,CPETG03P,CPETG04P,CPETG05P,CPETG06P,CPETG07P,CPETG08P,CPETG09P,CPETG10P,CPETG11P,CPETG12P,CPEMALLP,BPETWHIP,BPETBLAP,BPETHISP,BPETINDP,BPETPACP,BPETECOP,BPETRSKP,BPETLEPP,BPETSPEP,BPETVOCP,BPETBILP,BPETGIFP,BPETGEEP,BPETGPKP,BPETGKNP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPEMALLP,BPERRAKR,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERSAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPETDISP
001902001,37,25,12,2,3,32,0,0,9,67.6,32.4,5.4,8.1,86.5,0,0,24.3,28693,5961,465,503,4821,31,141,701,4063,1898,1034,,,,,,,,,,,,,,,,,,,7,3.8,0.6,29.1,34.2,46,54,1,30,17,1,158,104,0,0,27,7,124,0,0,0,0,0,0,0,0,0,0,0,43,34,50,31,37,78.5,17.1,4.4,0,0,19,65.8,0.6,10.8,0,0,0,0,0,0,0,0,0,0,0,27.2,21.5,31.6,19.6,20.2,77.9,8.9,10.2,0.7,2.4,21.6,37.3,1.3,12.1,64.2,1.1,9.3,0,0,0,0,0,0,0,0,0,0.9,0.9,23.2,26.8,25.8,22.3,15.1,,,,,,,,5.1,1.4,,,,,,,,5,0,3.6
001902041,0,0,0,0,0,0,0,0,0,,,,,,,,,18584,0,0,0,0,0,0,0,0,0,464,,,,,,,0,0,0,,,,,,,0,0,0,1,0.6,1.3,40.7,28,61,42,2,18,26,2,150,0,0,0,26,7,117,0,0,0,0,0,0,0,0,43,52,55,0,0,0,0,23,78,17.3,4.7,0,0,12,0,1.3,17.3,0,0,0,0,0,0,0,0,28.7,34.7,36.7,0,0,0,0,13.9,78,7.5,11.7,0.8,2,31.7,31.7,1.9,13.3,15.9,1.7,10.8,0,0,0,0,0,0,0,5.8,23.6,34,35.1,1.5,0,0,0,13.9,,,,,,2.6,1.3,2,1.3,,,,,,4.8,1.1,2.2,2.9,2.3
001902103,0,0,0,0,0,0,0,0,0,,,,,,,,,16394,0,0,0,0,0,0,0,0,0,23,2.8,7.1,3,0,0,0,,,,9.1,0,0,0,0,0,,,,0,0,1.1,46.4,19.7,127,54,3,42,24,3,274,0,0,6,26,9,233,3,19,38,50,34,44,45,41,0,0,0,0,0,0,0,43,85,9.5,3.3,0,2.2,15.3,0,1.1,8.8,1.1,6.9,13.9,18.2,12.4,16.1,16.4,15,0,0,0,0,0,0,0,18.8,85,4.3,8.5,0.6,1.7,25.8,19.4,1.6,11.2,0.1,1.4,6.1,0.4,3,12.7,13.5,13.7,15,19.7,16.5,4.5,0.5,0.5,0,0,0,0,14.1,4.4,3.9,2,1.5,1.1,1.4,1.1,1.5,0,14.7,4.3,3.4,3.4,1.5,2.4,1,6.7,0,0.1
001903001,75,36,39,7,4,64,0,0,17,48,52,9.3,5.3,85.3,0,0,22.7,26960,5514,184,382,4878,23,47,650,3665,1849,1177,,,,,,,,,,,,,,,,,,,10,2.4,0.3,38.4,37.1,144,139,1,84,19,1,375,214,0,2,30,16,327,0,0,0,0,0,0,0,0,0,0,0,113,92,85,85,90,87.2,8,4.3,0,0.5,22.4,57.1,0.3,5.1,0,0,0,0,0,0,0,0,0,0,0,30.1,24.5,22.7,22.7,22,87,3.8,7.5,0.6,1.1,24.1,41.9,0.7,13.3,70.8,0.6,7.5,0,0,0,0,0,0,0,0,0,0.9,1.1,28.2,25.5,23.4,20.9,16.6,,,,,,,,1.3,2.8,,,,,,,,6.3,0,4
001903002,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,6,35.3,0,50,100,1,2,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,100,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001903041,0,0,0,0,0,0,0,0,0,,,,,,,,,18044,0,0,0,0,0,0,0,0,0,357,,,,,,,1.5,1.5,1.5,,,,,,,0,0,0,4,1.3,0.4,46.4,43,122,113,1,56,13,1,263,94,3,0,29,13,218,0,0,0,0,0,0,0,0,85,82,96,0,0,0,0,46,82.9,11,4.9,1.1,0,21.3,35.7,0.4,4.9,0,0,0,0,0,0,0,0,32.3,31.2,36.5,0,0,0,0,15.1,82.6,6.6,9,0.5,1.3,27.4,32,1,12.5,8.7,0.9,8.9,0,0,0,0,0,0,0,8.6,22.9,33.4,33.8,1.3,0,0,0,14.4,,,,,,2,1.2,1.2,1,,,,,,0.6,1.4,1.9,2,1.9
001903101,0,0,0,0,0,0,0,0,0,,,,,,,,,16490,0,0,0,0,0,0,0,0,0,22,11.1,7.6,0,0,2.5,0,,,,13.3,0,0,0,0,10.5,,,,1,0.1,1.1,53.4,24.3,349,159,7,76,20,6,654,0,0,0,60,32,562,1,87,106,109,83,76,85,107,0,0,0,0,0,0,0,80,85.9,9.2,4.9,0,0,11.6,0,0.9,3.1,0.2,13.3,16.2,16.7,12.7,11.6,13,16.4,0,0,0,0,0,0,0,16.6,86.1,4,7.6,0.5,1.8,26.9,19.1,1.6,11.5,0,1.5,6.1,0.5,3.3,13.3,14,13.7,16.7,19.4,14.7,4,0.2,0.2,0,0,0,0,13.4,4.4,3.8,1.6,1.4,1,1.5,1,4,0,10.5,5.1,3.8,3.7,0.9,2.2,2.9,0,0,0.1
001904001,63,45,18,10,4,49,0,0,10,71.4,28.6,15.9,6.3,77.8,0,0,15.9,20522,4180,286,339,3484,21,50,567,2876,1304,896,,,,,,,,,,,,,,,,,,,1,0.4,0.9,38.2,37.8,89,88,2,44,20,2,233,174,0,1,28,13,191,0,0,0,0,0,0,0,0,0,0,0,60,61,52,60,47,82,12,5.6,0,0.4,18.9,74.7,0.9,8.6,0,0,0,0,0,0,0,0,0,0,0,25.8,26.2,22.3,25.8,17.5,82.3,7.5,8.5,0.6,1.1,26.1,38.8,1,14.1,66.2,0.9,9.1,0,0,0,0,0,0,0,0,0,1.7,1.6,26.1,24.5,24.1,21.9,14.5,,,,,,,,2.7,1.9,,,,,,,,5.8,0,4
001904041,0,0,0,0,0,0,0,0,0,,,,,,,,,25282,0,0,0,0,0,0,0,0,0,677,,,,,,,3.5,0,2.1,,,,,,,0,0,0,0,0,4.3,51.2,53.6,108,113,9,32,25,9,211,85,1,0,37,17,156,0,0,0,0,0,0,0,0,66,67,78,0,0,0,0,27,73.9,17.5,8.1,0.5,0,15.2,40.3,4.3,11.8,0,0,0,0,0,0,0,0,31.3,31.8,37,0,0,0,0,12.7,74.1,8,14.5,0.5,2.9,27.4,31,2.5,11.6,12.4,2.2,12.1,0,0,0,0,0,0,0,5.7,21.6,35.5,35.2,2.1,0,0,0,13.6,,,,,,2.6,1.2,1.8,1.4,,,,,,3,1.3,2.4,2.8,2.5
001904102,0,0,0,0,0,0,0,0,0,,,,,,,,,18211,0,0,0,0,0,0,0,0,0,26,0,7,2.1,1.9,2.4,0,,,,33.3,0,14.3,0,0,0,,,,0,0,4.5,57.5,35.4,203,125,16,39,14,16,353,0,0,0,44,25,284,3,26,62,47,56,50,55,54,0,0,0,0,0,0,0,53,80.5,12.5,7.1,0,0,11,0,4.5,4,0.8,7.4,17.6,13.3,15.9,14.2,15.6,15.3,0,0,0,0,0,0,0,16.5,80.4,6.9,9.6,0.6,2.5,28,22.9,3.1,11.4,0.4,2.8,6.3,0.4,3,14,14.5,14,16.5,17.5,15.2,4.4,0.2,0.2,0,0,0,0,13,3.6,4.2,1.5,1.2,1,1.5,0.3,0,0,11.6,8.2,3.4,1,1.1,0.8,0,0,0,0.1
