CAMPUS,CA0GR06N,CA0GH06N,CA0GM06N,CB0GR06N,CH0GR06N,CW0GR06N,CI0GR06N,CP0GR06N,CS0GR06N,CB0GR06P,CH0GR06P,CW0GR06P,CP0GR06P,CI0GR06P,CS0GR06P,CA0GH06P,CA0GM06P,BPETALLC,BA0GR06N,BB0GR06N,BH0GR06N,BW0GR06N,BI0GR06N,BP0GR06N,BS0GR06N,BA0GH06N,BA0GM06N,BPETDISC,CPERRAKR,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERSAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPETDISC,CPETDISP,CPETLEPP,CPETECOP,CPETRSKP,CPETECOC,CPETRSKC,CPETLEPC,CPETSPEC,CPETGIFC,CPETBILC,CPETALLC,CPETVOCC,CPETINDC,CPETPACC,CPETBLAC,CPETHISC,CPETWHIC,CPETGEEC,CPETGPKC,CPETGKNC,CPETG01C,CPETG02C,CPETG03C,CPETG04C,CPETG05C,CPETG06C,CPETG07C,CPETG08C,CPETG09C,CPETG10C,CPETG11C,CPETG12C,CPEMALLC,CPETWHIP,CPETBLAP,CPETHISP,CPETINDP,CPETPACP,CPETSPEP,CPETVOCP,CPETBILP,CPETGIFP,CPETGEEP,CPETGPKP,CPETGKNP,CPETG01P,CPETG02P,CPETG03P,CPETG04P,CPETG05P,CPETG06P,CPETG07P,CPETG08P,CPETG09P,CPETG10P,CPETG11P,CPETG12P,CPEMALLP,BPETWHIP,BPETBLAP,BPETHISP,BPETINDP,BPETPACP,BPETECOP,BPETRSKP,BPETLEPP,BPETSPEP,BPETVOCP,BPETBILP,BPETGIFP,BPETGEEP,BPETGPKP,BPETGKNP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPEMALLP,BPERRAKR,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERSAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPETDISP
001902001,27,16,11,5,2,20,0,0,1,18.5,7.4,74.1,0,0,3.7,59.3,40.7,28611,5448,379,476,4418,32,143,567,4094,1354,1084,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0.5,0,25.5,37.6,42,62,0,29,20,0,165,84,0,1,29,6,129,0,0,0,0,0,0,0,0,0,0,0,53,37,28,47,38,78.2,17.6,3.6,0,0.6,17.6,50.9,0,12.1,0,0,0,0,0,0,0,0,0,0,0,32.1,22.4,17,28.5,20.8,77.7,8,11,0.7,2.7,21.3,34.7,1.5,11.2,64.3,1.4,10.3,0,0,0,0,0,0,0,0,0,0.8,0.8,27.5,25.5,23.5,21.8,15.5,.,.,.,.,.,.,.,2.2,2.6,.,.,.,.,.,.,.,2.5,0,3.6
001902041,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,21615,0,0,0,0,0,0,0,0,0,397,.,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,1,0.6,1.5,39.8,20.3,53,27,2,20,19,2,133,71,0,0,18,8,107,0,0,0,0,0,0,0,0,44,44,45,0,0,0,0,20,80.5,13.5,6,0,0,15,53.4,1.5,14.3,0,0,0,0,0,0,0,0,33.1,33.1,33.8,0,0,0,0,12.4,80.2,7.1,10.3,0.6,1.7,28.2,29.6,1.3,12.4,10.2,1.2,8.7,0,0,0,0,0,0,0.7,10.2,25.7,31.7,31.6,0,0,0,0,13.9,.,.,.,.,0,1.2,0.9,1.5,0.6,.,.,.,.,0,1.1,1.3,1.8,3.1,1.7
001902103,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,17686,0,0,0,0,0,0,0,0,0,43,0,8.1,0,2.6,0,0,.,.,.,16.7,0,0,0,0,0,.,.,.,0,0,1.1,42.8,24,116,65,3,43,29,3,271,0,0,3,19,15,234,4,0,48,43,48,35,48,45,0,0,0,0,0,0,0,54,86.3,7,5.5,0,1.1,15.9,0,1.1,10.7,1.5,0,17.7,15.9,17.7,12.9,17.7,16.6,0,0,0,0,0,0,0,22,86.1,4.3,7,0.7,2,25.5,21,1.6,10.3,0,1.4,6.7,0.7,2.8,12.1,13.4,13.3,16.9,20.5,16.4,3.1,0.4,0.4,0,0,0,0,14.4,2.9,4.1,1.9,0.8,0.7,0.5,0.8,3.2,3.6,13.8,7,3.4,1,1.2,1,0,0,0,0.2
001903001,81,44,37,5,1,75,0,0,15,6.2,1.2,92.6,0,0,18.5,54.3,45.7,19237,3773,137,215,3376,26,19,498,2568,1205,756,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,2.6,0.3,34.3,48.5,124,175,1,82,20,1,361,220,0,4,26,14,317,0,0,0,0,0,0,0,0,0,0,0,108,95,81,77,82,87.8,7.2,3.9,0,1.1,22.7,60.9,0.3,5.5,0,0,0,0,0,0,0,0,0,0,0,29.9,26.3,22.4,21.3,19.3,87.6,4.2,6.8,0.7,0.7,26.6,41.2,0.6,13.3,75.2,0.6,7.1,0,0,0,0,0,0,0,0,0,1,1.1,28.8,24.4,23.6,21.1,17.9,.,.,.,.,.,.,.,1.7,1,.,.,.,.,.,.,.,2.1,0,3.6
001903041,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,15493,0,0,0,0,0,0,0,0,0,257,.,.,.,.,.,.,2.7,1.5,0,.,.,.,.,.,.,0,0,0,6,2,0.7,47.4,44.9,136,129,2,44,22,2,287,87,3,1,30,14,239,0,0,0,0,0,0,0,0,108,91,88,0,0,0,0,55,83.3,10.5,4.9,1,0.3,15.3,30.3,0.7,7.7,0,0,0,0,0,0,0,0,37.6,31.7,30.7,0,0,0,0,18.3,83,6.4,8.6,0.6,1.4,29.8,29.6,1.2,12.5,6.7,1.1,9,0,0,0,0,0,0,0,11.9,25.9,31.3,30.8,0,0,0,0,15.9,.,.,.,0.7,0,1.2,1.3,1.6,1,.,.,.,0,0,1.1,1.5,2.4,2.8,1.5
001903101,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,19037,0,0,0,0,0,0,0,0,0,39,3.5,8.1,6.3,0,1.5,0,.,.,.,23.1,8.3,0,0,0,0,.,.,.,0,0,0.9,59.3,25.6,398,172,6,63,16,6,671,0,0,0,56,48,567,0,132,93,100,104,73,77,92,0,0,0,0,0,0,0,132,84.5,8.3,7.2,0,0,9.4,0,0.9,2.4,0,19.7,13.9,14.9,15.5,10.9,11.5,13.7,0,0,0,0,0,0,0,24.8,84.8,3.9,8.8,0.6,1.9,24.7,21.6,1.9,10.6,0,1.7,6.7,0.5,2.7,11.7,13.5,14,16.9,20.8,16.3,3,0.3,0.3,0,0,0,0,14.2,3.7,4.3,1.7,1.1,0.6,1.1,0.8,2.1,0,14.1,6.6,4.5,1.7,1,1.6,0.8,0,0,0.2
001904001,61,44,17,5,3,52,0,1,11,8.2,4.9,85.2,1.6,0,18,72.1,27.9,16116,3114,313,208,2541,20,32,430,2154,960,632,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1.5,1.2,47.2,41.9,117,104,3,45,24,3,248,197,0,2,38,12,196,0,0,0,0,0,0,0,0,0,0,0,81,58,60,49,50,79,15.3,4.8,0,0.8,18.1,79.4,1.2,9.7,0,0,0,0,0,0,0,0,0,0,0,32.7,23.4,24.2,19.8,18.7,79.4,10,8.8,0.7,1,32.4,39.2,1,14.8,71.8,0.9,9,0,0,0,0,0,0,0,0,0,1.4,1.5,26.7,25.8,22.7,22,17.1,.,.,.,.,.,.,.,2.2,2.6,.,.,.,.,.,.,.,2.5,0,3.6
001904041,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,22448,0,0,0,0,0,0,0,0,0,509,.,.,.,.,.,.,2.1,1.9,3.1,.,.,.,.,.,.,0,0,0,6,2.5,6.4,51.6,44.1,97,83,12,31,18,12,188,76,0,2,31,18,137,0,0,0,0,0,0,0,0,54,69,65,0,0,0,0,41,72.9,16.5,9.6,0,1.1,16.5,40.4,6.4,9.6,0,0,0,0,0,0,0,0,28.7,36.7,34.6,0,0,0,0,17.3,72.7,9.3,15.2,0.6,2.2,31.3,32.3,2.6,12.1,12.6,2.4,10.3,0,0,0,0,0,0,0,7.5,26.3,32.1,32.8,1.2,0,0,0,15.3,.,.,.,3.8,0.5,1.9,1.2,2.4,1.3,.,.,.,0,0,1.3,1.5,2,2.2,2.2
001904102,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,19780,0,0,0,0,0,0,0,0,0,15,0,4.8,0,2.4,0,4.3,.,.,.,12.5,0,0,0,0,0,.,.,.,0,0,5.7,59.2,39.1,209,138,20,37,20,20,353,0,0,2,42,31,278,2,20,60,60,50,54,51,56,0,0,0,0,0,0,0,58,78.8,11.9,8.8,0,0.6,10.5,0,5.7,5.7,0.6,5.7,17,17,14.2,15.3,14.4,15.9,0,0,0,0,0,0,0,19.4,78.6,7.9,10.7,0.6,2.2,32.6,28,3.5,10.7,0.3,3.2,6.1,0.5,4,13.4,13.9,14.5,17.1,19.2,13.7,3.7,0,0,0,0,0,0,16.8,4,4.9,2.2,1.6,1.4,1.7,0.2,.,.,12.9,11,2.6,2,1.3,1.5,0,.,.,0.1
001906002,22,17,5,1,0,21,0,0,4,4.5,0,95.5,0,0,18.2,77.3,22.7,29649,6261,352,491,5298,27,93,728,4605,1656,1032,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,0,0,6,3.7,0,33.3,41.3,46,57,0,37,6,0,138,120,0,1,14,9,114,0,0,0,0,0,0,0,0,0,20,22,35,30,16,15,27,82.6,10.1,6.5,0,0.7,26.8,87,0,4.3,0,0,0,0,0,0,0,0,0,14.5,15.9,25.4,21.7,11.6,10.9,16.5,83.3,5.7,9.3,0.5,1.4,22.5,40.3,0.9,12.3,68.7,0.7,8.5,0,0,0,0,0,0,0,0,0,0.7,0.7,26.8,25.3,23.6,22.9,15.3,.,.,.,.,.,.,.,3.4,0.5,.,.,.,.,.,.,.,5.4,0,3.2
