CAMPUS,CA0GR10N,CA0GH10N,CA0GM10N,CB0GR10N,CH0GR10N,CW0GR10N,CI0GR10N,C30GR10N,C40GR10N,C20GR10N,CS0GR10N,CB0GR10P,CH0GR10P,CW0GR10P,CI0GR10P,C30GR10P,C40GR10P,C20GR10P,CS0GR10P,CA0GH10P,CA0GM10P,BPETALLC,BA0GR10N,BB0GR10N,BH0GR10N,BW0GR10N,BI0GR10N,B30GR10N,B40GR10N,B20GR10N,BS0GR10N,BA0GH10N,BA0GM10N,CPERRAKR,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERSAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPETDISC,CPETDISP,CPETLEPP,CPETECOP,CPETRSKP,CPETECOC,CPETRSKC,CPETLEPC,CPETSPEC,CPETGIFC,CPETBILC,CPETALLC,CPETVOCC,CPETINDC,CPETASIC,CPETPCIC,CPETTWOC,CPETBLAC,CPETHISC,CPETWHIC,CPETGEEC,CPETGPKC,CPETGKNC,CPETG01C,CPETG02C,CPETG03C,CPETG04C,CPETG05C,CPETG06C,CPETG07C,CPETG08C,CPETG09C,CPETG10C,CPETG11C,CPETG12C,CPEMALLC,CPETWHIP,CPETBLAP,CPETHISP,CPETINDP,CPETASIP,CPETPCIP,CPETTWOP,CPETSPEP,CPETVOCP,CPETBILP,CPETGIFP,CPETGEEP,CPETGPKP,CPETGKNP,CPETG01P,CPETG02P,CPETG03P,CPETG04P,CPETG05P,CPETG06P,CPETG07P,CPETG08P,CPETG09P,CPETG10P,CPETG11P,CPETG12P,CPEMALLP,BPETWHIP,BPETBLAP,BPETHISP,BPETINDP,BPETASIP,BPETPCIP,BPETTWOP,BPETECOP,BPETRSKP,BPETLEPP,BPETSPEP,BPETVOCP,BPETBILP,BPETGIFP,BPETGEEP,BPETGPKP,BPETGKNP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPEMALLP,BPERRAKR,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERSAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPETDISP
001902001,48,41,7,12,2,32,0,0,0,2,6,25,4.2,66.7,0,0,0,4.2,12.5,85.4,14.6,24544,5288,309,509,4310,34,57,3,66,571,4188,1100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0.9,0,32.4,29.7,60,55,0,26,24,0,185,119,1,0,0,7,20,12,145,0,0,0,0,0,0,0,0,0,0,0,46,49,42,48,41,78.4,10.8,6.5,0.5,0,0,3.8,14.1,64.3,0,13,0,0,0,0,0,0,0,0,0,0,0,24.9,26.5,22.7,25.9,19.1,78.8,6.4,10.9,0.7,1.3,0,1.9,32.2,35.1,0.7,10.9,79.1,0.6,7,0,0,0,0,0,0,0,0,0,0.5,0.5,28.3,25.5,23.2,21.9,13.9,.,.,.,.,.,.,.,0,2.2,.,.,.,.,.,.,.,0,0,3.6
001902041,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,12997,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,0,0,0,32.7,22.8,53,37,0,24,21,0,162,35,0,1,0,3,12,5,141,0,0,0,0,0,0,0,0,55,46,61,0,0,0,0,23,87,7.4,3.1,0,0.6,0,1.9,14.8,21.6,0,13,0,0,0,0,0,0,0,0,34,28.4,37.7,0,0,0,0,14.1,86.5,3.4,7.1,0.9,0.4,0.1,1.7,38.8,29.9,0.5,9.6,10.7,0.5,8.9,0,0,0,0,0,0,0,4.9,25,35.3,34.7,0,0,0,0,12.6,.,.,.,.,.,1.2,0.9,1,0.8,.,.,.,.,.,1.9,1.1,1.1,2.2,1.6
001902103,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,15505,0,0,0,0,0,0,0,0,0,0,0,10.3,2.4,7.1,2.2,0,2.2,.,.,.,0,40,0,0,0,0,.,.,.,0,0,1.2,47.1,24.3,122,63,3,24,18,3,259,0,0,2,0,13,13,16,215,2,8,45,36,48,28,45,47,0,0,0,0,0,0,0,46,83,5,6.2,0,0.8,0,5,9.3,0,1.2,6.9,0.8,3.1,17.4,13.9,18.5,10.8,17.4,18.1,0,0,0,0,0,0,0,18,83.1,3.1,9.6,0.6,1,0.1,2.4,37.8,26.3,2,8,0,2,4.9,0.3,5,12.6,13.4,13,16.8,18.1,17.8,3,0,0,0,0,0,0,13.3,4.3,4.6,1.5,0.8,0.7,1.2,0,.,.,11.9,9.1,6.1,1.7,1.5,1.6,0,.,.,0.1
001903001,81,62,19,6,5,66,0,0,0,4,18,7.4,6.2,81.5,0,0,0,4.9,22.2,76.5,23.5,15206,3261,80,202,2891,29,11,1,47,419,2506,755,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,3.1,0,40.8,34.6,146,124,0,40,29,0,358,284,2,1,0,5,18,20,312,0,0,0,0,0,0,0,0,0,0,0,104,100,79,75,52,87.2,5,5.6,0.6,0.3,0,1.4,11.2,79.3,0,8.1,0,0,0,0,0,0,0,0,0,0,0,29.1,27.9,22.1,20.9,13.4,87.3,2.4,6.9,1,0.7,0.1,1.7,32.5,36.4,0.3,12.3,80.4,0.3,8.4,0,0,0,0,0,0,0,0,0,2.6,2.5,25.5,24.4,23.3,21.7,13.7,.,.,.,.,.,.,.,2.3,0.8,.,.,.,.,.,.,.,3.9,0,2.7
001903041,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,13555,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,0,1.3,0,.,.,.,.,.,.,0,11.1,0,2,0.6,0,42.4,38,117,105,0,27,17,0,276,49,0,1,0,7,9,19,240,0,0,0,0,0,0,0,0,95,99,82,0,0,0,0,41,87,3.3,6.9,0,0.4,0,2.5,9.8,17.8,0,6.2,0,0,0,0,0,0,0,0,34.4,35.9,29.7,0,0,0,0,13.1,87,2.2,7.4,1,0.5,0.1,1.8,40,30.2,0.6,10.4,9.1,0.6,8.8,0,0,0,0,0,0,0,8.1,25.9,33.3,32.7,0,0,0,0,12.5,.,.,.,.,.,1.5,0.6,1,0.8,.,.,.,.,.,1.4,1.2,1.1,1.8,1.7
001903101,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,17941,0,0,0,0,0,0,0,0,0,0,0,5.1,8.4,2.9,2.2,1.2,3.4,.,.,.,25,0,12.5,0,0,0,.,.,.,0,0,1.7,64.4,33.4,445,231,12,43,12,12,691,0,3,6,2,18,47,54,561,2,115,82,86,100,113,98,95,0,0,0,0,0,0,0,77,81.2,6.8,7.8,0.4,0.9,0.3,2.6,6.2,0,1.7,1.7,0.3,16.6,11.9,12.4,14.5,16.4,14.2,13.7,0,0,0,0,0,0,0,13.8,81.2,3.8,10.7,0.4,1.3,0.2,2.5,33.3,24.1,2.1,7.8,0.3,2.1,6.2,0.4,4.3,12.6,12.9,13.2,15.8,17.6,17.9,4.6,0.3,0.3,0,0,0,0,11.9,2.6,3.8,1.4,0.9,0.2,0.9,0.4,0,3.9,7.9,6.2,3.8,2.6,1,1.7,0,0,0,0.2
001904001,58,50,8,9,4,43,0,0,0,2,7,15.5,6.9,74.1,0,0,0,3.4,12.1,86.2,13.8,29595,6754,570,840,5094,71,76,5,98,651,5470,1284,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1.6,3.5,50.2,48,114,109,8,33,17,8,227,224,1,5,0,9,32,15,165,0,0,0,0,0,0,0,0,0,0,0,59,50,65,53,45,72.7,14.1,6.6,0.4,2.2,0,4,14.5,98.7,3.5,7.5,0,0,0,0,0,0,0,0,0,0,0,26,22,28.6,23.3,17.5,73.1,7.8,14.9,1,1.2,0.1,1.9,31.5,33.9,1.1,10.4,72.9,1,8.4,0,0,0,0,0,0,0,0,0,0.3,0.3,27.7,26.2,22.7,22.7,14.1,.,.,.,.,.,.,.,0,3.3,.,.,.,.,.,.,.,0,0,3.5
001904041,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,20021,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,1.9,0,0,.,.,.,.,.,.,0,0,0,1,0.5,1.7,53.4,41.5,94,73,3,20,14,3,176,0,1,2,0,4,26,15,128,0,0,0,0,0,0,0,0,61,59,56,0,0,0,0,26,72.7,14.8,8.5,0.6,1.1,0,2.3,11.4,0,1.7,8,0,0,0,0,0,0,0,0,34.7,33.5,31.8,0,0,0,0,13.7,72.9,7.3,14.6,1.3,1.7,0.1,2.1,37.3,27.1,1.6,9.5,10.1,1.5,8.4,0,0,0,0,0,0,0,6.8,31.6,31,30.6,0,0,0,0,12,.,.,.,.,.,0.7,0.3,0.5,0.3,.,.,.,.,.,1.6,1.8,1.1,1.6,2.2
001904102,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,20330,0,0,0,0,0,0,0,0,0,0,0,0,3.9,2.5,2,2,2.1,.,.,.,0,16.7,0,0,0,0,.,.,.,0,0,4.6,58.7,23.5,232,93,18,35,16,18,395,0,1,4,0,14,38,36,302,1,47,73,49,57,52,53,63,0,0,0,0,0,0,0,60,76.5,9.6,9.1,0.3,1,0,3.5,8.9,0,4.6,4.1,0.3,11.9,18.5,12.4,14.4,13.2,13.4,15.9,0,0,0,0,0,0,0,19.3,76.3,5.3,13,0.8,2.2,0.1,2.4,28.5,22.3,3.6,8.2,0,3.5,6.9,0.3,3.3,13.8,15,15,15.8,17.4,15.4,4,0,0,0,0,0,0,11.3,3,2.6,1.5,1.4,0.5,0.7,0.8,.,.,13.6,6.6,3.4,1.6,1.2,0.9,0,.,.,0.1
001906002,28,20,8,6,6,15,0,0,0,1,6,21.4,21.4,53.6,0,0,0,3.6,21.4,71.4,28.6,21574,4444,216,365,3750,29,43,4,37,543,3494,950,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1.1,1.2,45.9,47.1,39,40,1,16,4,1,85,64,0,0,0,3,8,5,69,0,0,0,0,0,0,0,0,0,0,0,33,15,16,21,14,81.2,9.4,5.9,0,0,0,3.5,18.8,75.3,1.2,4.7,0,0,0,0,0,0,0,0,0,0,0,38.8,17.6,18.8,24.7,15.2,81,5.3,10.1,0.7,1.3,0,1.6,32.9,34.4,0.7,11.4,79.3,0.7,7.2,0,0,0,0,0,0,0,0,0,1,1,28.8,25.7,22.2,21.3,14.1,.,.,.,.,.,.,.,4.2,1,.,.,.,.,.,.,.,0,0,3.6
